ID,TITLE,TYPE,IMDB_SCORE,RELEASE_YEAR,ENGAGEMENT_SCORE,DESCRIPTION_SENTIMENT,SENTIMENT_BUCKET
ts34087,Puella Magi Madoka Magica,SHOW,8.3,2011,6.97,0.43464106,Positive
ts22232,The Future Diary,SHOW,7.6,2011,6.65,0.17893732,Neutral
ts28014,Another,SHOW,7.6,2012,6.87,0.2095678,Neutral
ts33772,Nichijou: My Ordinary Life,SHOW,8.3,2011,6.9,0.17228843,Neutral
ts11151,Fate/Zero,SHOW,8.2,2011,6.94,0.30761015,Positive
ts9246,Blue Exorcist,SHOW,7.5,2011,6.66,0.19379695,Neutral
ts26933,From the New World,SHOW,8,2012,6.65,0.20188321,Neutral
ts7708,anohana: The Flower We Saw That Day,SHOW,8.2,2011,7.09,0.43201044,Positive
ts27586,Magi,SHOW,7.8,2012,6.78,0.35459143,Positive
ts39133,Hyouka,SHOW,7.8,2012,6.71,0.3425136,Positive
ts76614,Thermae Romae,SHOW,6.1,2012,4.85,0.1458994,Neutral
ts22249,Kuroko's Basketball,SHOW,8.3,2012,7.1,0.22023904,Neutral
ts26929,My Little Monster,SHOW,7.3,2012,6.58,0.38225326,Positive
ts27050,K-Project,SHOW,7,2012,5.97,0.11028197,Neutral
ts26925,Polar Bear Cafe,SHOW,8.1,2012,6.28,0.19678855,Neutral
ts11779,Accel World,SHOW,7.1,2012,6.27,0.10704058,Neutral
ts32360,Usagi Drop,SHOW,8.3,2011,6.83,-0.046017073,Neutral
ts11257,Chihayafuru,SHOW,8.1,2011,6.66,0.15538836,Neutral
ts518,Beelzebub,SHOW,7.5,2011,6.51,0.16662183,Neutral
ts15793,Daily Lives of High School Boys,SHOW,7.8,2012,6.56,0.3467417,Positive
ts27094,Nyaruko: Crawling With Love!,SHOW,6.5,2012,5.82,0.015814438,Neutral
ts26560,Space Brothers,SHOW,8.2,2012,6.6,0.1901621,Neutral
ts21213,Yu-Gi-Oh! Zexal,SHOW,5,2011,4.96,0.27049664,Neutral
ts14234,Cardfight!! Vanguard,SHOW,5.8,2011,4.83,0.30299103,Positive
ts26691,Blast of Tempest,SHOW,7.5,2012,6.37,0.1338557,Neutral
ts7872,Campione!,SHOW,6.8,2012,6.17,0.022923948,Neutral
ts20670,Toriko,SHOW,7.2,2011,5.79,0.1237326,Neutral
ts8677,Ghastly Prince Enma Burning Up,SHOW,6.7,2011,6.18,0.07645056,Neutral
ts27922,NARUTO Spin-Off: Rock Lee & His Ninja Pals,SHOW,7.2,2012,5.71,0.33034122,Positive
ts34293,YuruYuri: Happy Go Lily,SHOW,7.5,2011,6.24,-0.022541903,Neutral
ts11511,Folktales from Japan,SHOW,7.5,2012,6.46,0.11508267,Neutral
ts12173,The Ambition of Oda Nobuna,SHOW,6.4,2012,5.46,0.22861922,Neutral
ts10585,Brave 10,SHOW,6.5,2012,5.75,0.11691279,Neutral
ts34924,Hanasaku Iroha: Blossoms for Tomorrow,SHOW,7.7,2011,5.97,0.28813875,Neutral
ts35044,A Bridge to the Starry Skies,SHOW,6.3,2011,5.05,0.3133653,Positive
ts28083,Nisemonogatari,SHOW,7.7,2012,6.35,0.23175363,Neutral
ts44764,The New Prince of Tennis,SHOW,7.5,2012,5.61,0.03376756,Neutral
ts26590,Teekyu,SHOW,6.3,2012,5.07,0.17942362,Neutral
ts26766,Ixion Saga: Dimension Transfer,SHOW,6.5,2012,4.82,0.28253153,Neutral
ts33973,Sket Dance,SHOW,7.6,2011,6.06,0.16926233,Neutral
ts26895,Muv-Luv Alternative: Total Eclipse,SHOW,6.6,2012,5.5,0.039884187,Neutral
ts26817,Inferno Cop,SHOW,6.6,2012,5.05,0.34852988,Positive
ts34953,A Dark Rabbit has Seven Lives,SHOW,5.1,2011,4.35,0.21348557,Neutral
ts4204,Dragon Crisis!,SHOW,5.9,2011,4.7,0.08958177,Neutral
ts32606,Kamisama Dolls,SHOW,6.7,2011,5.5,0.3179587,Positive
ts27839,Sengoku Collection,SHOW,6.8,2012,3.74,0.18784857,Neutral
ts4773,DD Fist of the North Star,SHOW,6.5,2011,4.86,0.10013731,Neutral
ts53007,Saki Episode of Side A,SHOW,7.1,2012,3.3,0.27440444,Neutral
ts32870,gdgd Fairies,SHOW,7,2011,5.49,0.21194534,Neutral
ts12574,Chitose Get You!!,SHOW,5.7,2012,4.95,0.09253594,Neutral
ts30007,Tamayura: Hitotose,SHOW,6.7,2011,5.05,0.42125192,Positive
ts18755,Battle Girls: Time Paradox,SHOW,6.4,2011,5.82,0.36718437,Positive
ts1118,Ebiten,SHOW,4.8,2012,2.58,-0.2683401,Neutral
ts33166,"You're Being Summoned, Azazel-san",SHOW,7.2,2011,5.99,0.12571168,Neutral
ts27564,Wooser's Hand-to-Mouth Life,SHOW,5.7,2012,3.61,0.12191514,Neutral
ts27727,Recorder and Randsell,SHOW,6.3,2012,3.95,0.34018174,Positive
ts27861,Poyopoyo,SHOW,8.8,2012,6.15,0.44937146,Positive
ts34548,Morita-san wa Mukuchi,SHOW,5.8,2011,3.81,-0.05623372,Neutral
ts39184,Upotte!!,SHOW,6.6,2012,4.82,0.30854958,Positive
ts20682,Attack on Titan,SHOW,9,2013,7.83,0.26231003,Neutral
ts20112,Haikyu!!,SHOW,8.8,2014,7.46,0.1469788,Neutral
ts20202,Tokyo Ghoul,SHOW,7.8,2014,7.08,0.09970934,Neutral
ts20249,Your Lie in April,SHOW,8.5,2014,7.39,0.29528108,Neutral
ts20250,Parasyte -the maxim-,SHOW,8.3,2014,7.23,0.09952453,Neutral
ts44387,My Teen Romantic Comedy SNAFU,SHOW,8,2013,6.86,0.023435453,Neutral
ts34950,KILL la KILL,SHOW,7.9,2013,6.92,0.17674316,Neutral
ts34193,The Devil Is a Part-Timer!,SHOW,7.6,2013,6.43,0.015749728,Neutral
ts20014,Sailor Moon Crystal,SHOW,7.8,2014,6.58,0.22620583,Neutral
ts22386,RWBY,SHOW,7.4,2013,5.61,0.31449133,Positive
ts33329,Date a Live,SHOW,6.9,2013,6.41,0.09075361,Neutral
ts20683,Log Horizon,SHOW,7.6,2013,6.52,0.18981485,Neutral
ts41161,Noragami,SHOW,7.9,2014,6.96,0.27759847,Neutral
ts20225,Yona of the Dawn,SHOW,8,2014,6.88,0.3309621,Positive
ts18865,Danganronpa: The Animation,SHOW,6.8,2013,6.17,0.1340001,Neutral
ts20252,Trinity Seven,SHOW,6.9,2014,5.95,0.1979516,Neutral
ts22426,The Irregular at Magic High School,SHOW,7.1,2014,6.23,0.35388073,Positive
ts35487,Blue Spring Ride,SHOW,7.5,2014,6.71,0.31211853,Positive
ts4696,Fate/stay night [Unlimited Blade Works],SHOW,8,2014,6.76,0.20763688,Neutral
ts35492,Nisekoi,SHOW,7.4,2014,6.57,0.11445553,Neutral
ts33718,Free!,SHOW,7.4,2013,6.55,0.25131094,Neutral
ts32818,Maoyu: Archenemy & Hero,SHOW,7,2013,6.03,0.15680924,Neutral
ts20201,World Trigger,SHOW,7.5,2014,6.21,0.122732215,Neutral
ts20709,Yowamushi Pedal,SHOW,7.7,2013,6.17,0.10124195,Neutral
ts20240,Strike the Blood,SHOW,7,2013,5.98,0.20602912,Neutral
ts33317,Gargantia on the Verdurous Planet,SHOW,7.3,2013,6.1,0.085015796,Neutral
ts44298,Non Non Biyori,SHOW,7.8,2013,6.27,0.19573694,Neutral
ts20226,The Fruit of Grisaia,SHOW,7.1,2014,5.89,0.19965914,Neutral
ts56820,Yuki Yuna Is a Hero,SHOW,6.8,2014,5.83,0.2562673,Neutral
ts20219,Terra Formars,SHOW,6.4,2014,5.7,0.51702344,Positive
ts20807,Ace of Diamond,SHOW,8.2,2013,6.62,0.41171503,Positive
ts20778,The World is Still Beautiful,SHOW,7.4,2014,6.11,0.14064935,Neutral
ts44098,Yu-Gi-Oh! Arc-V,SHOW,7,2014,5.03,0.28651702,Neutral
ts37196,Gundam Build Fighters,SHOW,7.4,2013,5.75,0.2900792,Neutral
ts22417,Mischief of the Gods,SHOW,7.1,2014,5.64,0.13987313,Neutral
ts20227,Persona 4 The Golden Animation,SHOW,6.3,2014,5.55,0.3086756,Positive
ts33694,Oreshura,SHOW,6.4,2013,5.08,0.20496565,Neutral
ts36927,Fate/kaleid liner Prisma Illya,SHOW,6.1,2013,5.33,0.14096524,Neutral
ts32231,Mushibugyou,SHOW,6.5,2013,4.73,0.20108134,Neutral
ts20063,Aldnoah.Zero,SHOW,7.2,2014,6.25,0.029723397,Neutral
ts33840,Nagi-Asu: A Lull in the Sea,SHOW,7.3,2013,6.06,0.30526608,Positive
ts20306,Dai Shogun - Great Revolution,SHOW,5.5,2014,5.38,0.15974388,Neutral
ts20206,Love Stage!!,SHOW,7.4,2014,5.91,0.27717286,Neutral
ts34755,Gatchaman Crowds,SHOW,6.8,2013,5.53,0.15981166,Neutral
